symbol
MSFT
NVDA
AAPL
AMZN
GOOG
META
AVGO
BRK.B
TSLA
WMT
JPM
V
LLY
MA
NFLX
ORCL
COST
XOM
PG
JNJ
HD
BAC
ABBV
KO
PLTR
PM
TMUS
UNH
GE
CRM
CSCO
WFC
CVX
IBM
ABT
LIN
MCD
INTU
NOW
AXP
MS
DIS
T
ISRG
ACN
MRK
AMD
RTX
VZ
BKNG
GS
UBER
PEP
ADBE
TXN
BX
CAT
PGR
QCOM
SCHW
SPGI
BA
AMGN
BLK
TMO
BSX
NEE
HON
SYK
C
TJX
DE
DHR
GILD
AMAT
UNP
PANW
PFE
ADP
GEV
ETN
CMCSA
LOW
ANET
MU
CB
CRWD
VRTX
MMC
APH
LMT
MDT
LRCX
ADI
COP
KKR
KLAC
PLD
ICE
SBUX
WELL
MO
AMT
CME
BMY
SO
TT
WM
CEG
NKE
DASH
HCA
FI
CTAS
DUK
EQIX
SHW
MCK
ELV
MCO
INTC
ABNB
PH
MDLZ
AJG
CI
UPS
TDG
CDNS
CVS
FTNT
AON
RSG
ORLY
MMM
DELL
APO
COF
ZTS
ECL
SNPS
RCL
GD
WMB
CL
MAR
ITW
PYPL
HWM
CMG
PNC
NOC
MSI
USB
EMR
JCI
WDAY
BK
COIN
ADSK
KMI
APD
EOG
AZO
TRV
MNST
AXON
ROP
CHTR
SPG
DLR
CARR
CSX
HLT
FCX
VST
NEM
PAYX
NSC
AFL
COR
ALL
AEP
MET
PWR
PSA
TFC
FDX
GWW
NXPI
REGN
OKE
O
AIG
SRE
BDX
AMP
MPC
NDAQ
PCAR
CTVA
TEL
CPRT
FAST
D
ROST
PSX
SLB
URI
LHX
GM
EW
CMI
VRSK
KDP
KMB
TGT
KR
MSCI
GLW
FICO
CCI
EXC
FIS
TTWO
IDXX
HES
OXY
KVUE
AME
FANG
F
YUM
VLO
PEG
GRMN
CTSH
XEL
OTIS
CBRE
BKR
EA
PRU
DHI
CAH
RMD
HIG
ED
ROK
TRGP
EBAY
SYY
ACGL
ETR
WAB
MCHP
VMC
PCG
DXCM
ODFL
EQT
WEC
IR
LYV
EFX
DAL
VICI
MLM
EXR
CSGP
MPWR
A
TKO
GEHC
HSY
IT
CCL
LULU
BRO
KHC
XYL
WTW
NRG
STZ
IRM
GIS
ANSS
RJF
MTB
VTR
AVB
BR
LEN
DD
K
LVS
WRB
STT
NUE
ROL
EXE
KEYS
HUM
DTE
UAL
CNC
AWK
TSCO
STX
EQR
VRSN
IQV
FITB
GDDY
AEE
TPL
PPG
DRI
PPL
IP
DG
VLTO
TYL
FTV
SMCI
EL
MTD
DOV
FOXA
CHD
WBD
SBAC
ATO
ES
CNP
STE
CPAY
HPE
HPQ
HBAN
CINF
CDW
FE
TDY
FOX
CBOE
ADM
SW
SYF
EXPE
PODD
NTAP
LH
NVR
HUBB
NTRS
ON
CMS
ULTA
WAT
AMCR
TROW
DVN
EIX
PTC
INVH
DOW
PHM
MKC
STLD
RF
DLTR
TSN
IFF
LII
CTRA
BIIB
DGX
ERIE
WSM
WY
WDC
LUV
LDOS
JBL
GPN
L
ESS
NI
ZBH
GEN
LYB
MAA
CFG
KEY
FSLR
HAL
PKG
GPC
PFG
TRMB
FFIV
HRL
SNA
RL
NWS
FDS
TPR
PNR
DECK
WST
MOH
DPZ
CLX
NWSA
LNT
BAX
BBY
EXPD
J
ZBRA
EVRG
CF
BALL
PAYC
EG
UDR
APTV
COO
HOLX
KIM
AVY
OMC
JBHT
IEX
TER
TXT
MAS
INCY
BF.B
JKHY
REG
BXP
ALGN
SOLV
CPT
BLDR
DOC
UHS
ARE
NDSN
JNPR
ALLE
SJM
BEN
CHRW
AKAM
POOL
HST
MOS
RVTY
SWKS
CAG
PNW
MRNA
TAP
DVA
AIZ
CPB
SWK
VTRS
EPAM
LKQ
GL
BG
KMX
WBA
DAY
HAS
AOS
EMN
HII
NCLH
MGM
WYNN
HSIC
IPG
FRT
MKTX
PARA
LW
MTCH
AES
TECH
GNRC
CRL
ALB
APA
IVZ
MHK
